PlotKey,TreeKey,SpeciesCode,DBH,TotalHeight,Age_BH
101,e9753dee-45ae-4de7-b7f3-b5bc19d3bf02,12,21.2,22.0,0.0
101,638ee9e2-a994-4c48-8637-3caf9364da15,20,7.8,13.4,0.0
101,630eda6b-5b71-495c-b220-15d927e88240,20,15.5,17.7,0.0
101,3831aace-caf9-4bad-b3a4-e2a031848f74,12,22.3,18.9,0.0
101,1bc3f300-1bb1-462f-bbc0-45550b1c5f94,12,20.1,17.1,0.0
101,b6c65749-413c-445a-84be-68185e758c7e,20,12.4,15.6,0.0
101,0a6a86af-6769-4803-9fd1-9ee8e681942f,20,15.3,17.5,0.0
101,565ad90f-e3b0-453c-bc64-3e5181fa1020,20,7.8,12.6,0.0
101,132cda6d-efe5-4c9c-aed9-1d8ca4e4c02d,20,8.6,13.0,0.0
101,ca6a993a-dec9-4903-9f19-a78fe0c6fba7,12,12.3,13.2,0.0
101,b4dd559b-64d5-4b04-88f0-dd0f732bcc4b,12,17.3,18.7,0.0
101,3da4b4bd-b0de-4704-86c6-51552bdbe67b,20,19.7,15.4,0.0
101,a1c8f246-2d3f-4172-996a-98b61d0c562a,20,15.7,16.6,0.0
101,c4d67a62-2070-44f5-891a-d65730c07c86,20,10.6,15.4,0.0
101,5f5b3c6f-1f3e-4635-83bb-ac424a7eb486,20,9.2,14.7,0.0
101,fe119bed-2f8e-4a7d-ab2a-16869e3b6679,20,8.3,13.6,0.0
102,e417f984-3d59-4099-a78d-fbca1538266a,3,11.5,12.9,0.0
102,a09dc5a3-5e02-4948-a2d6-a1789b7f00e7,3,12.9,13.8,0.0
102,78d8ebf4-a371-4c85-b96d-e24bb2e90f72,3,11.4,14.6,0.0
102,a5707a94-f24c-458b-905f-ed682c07516f,3,14.5,14.3,0.0
102,e569116b-b38b-4b24-ab84-4ac27e6ec62e,3,8.2,12.3,0.0
102,9ad110e0-e6c3-4810-b9e5-cb07b5058b37,3,12.2,10.1,0.0
102,40119a77-f25c-4fb2-a95f-246cbef1fdec,3,11.9,13.7,0.0
102,40753836-9f22-47a2-b66b-b1a6f5160c92,3,14.0,15.3,0.0
102,b1134fc1-af13-4fc0-9345-233b0c9ed24f,3,13.2,14.6,0.0
102,041b4403-a757-4304-8dfc-60d42dc9c424,3,15.5,16.1,0.0
102,3d509bff-8600-47af-bf15-c0d1cf05cc9f,3,8.0,11.4,0.0
102,3c49d16a-6816-46a7-bb31-da4db7cfbd2f,3,14.0,13.6,0.0
102,f6af0232-725c-40a7-a89a-68eb252ed70c,3,8.3,10.8,0.0
102,b4af87c8-cb2b-433e-b33e-5dc2698eab6e,3,7.4,7.6,0.0
102,dbdcd14c-918d-4a15-9ff3-38edcc974e9a,3,10.8,13.1,0.0
102,37dc217c-9da9-4856-9ec5-de933f16aafa,3,8.6,11.4,0.0
102,e7d966a6-78b2-489b-b0a2-1715c7355c65,3,15.7,14.2,0.0
102,cc25d1ca-101f-4adf-9ee7-b55d17ed328b,13,8.0,6.5,0.0
102,7cae45fc-fae2-4349-8672-ec0c3b014f32,3,11.3,13.9,0.0
102,78af1fad-3204-4a0d-9d22-a59c9fcdee61,3,7.5,9.8,0.0
102,b24d89ae-8fa2-4fce-acf2-2d444aecec8e,3,14.5,15.8,0.0
102,aa8a5348-05d8-429a-a28b-1d1bb743422e,3,11.3,13.7,0.0
102,726d9bb5-3095-4b97-b05f-a0c3a685992e,3,13.5,14.0,0.0
102,f0dfb582-65dd-49e1-a9cb-8f55036a6d68,3,14.3,14.6,0.0
102,101663cf-f0bb-4c1a-9570-7c1bc5b56e73,3,7.4,12.7,0.0
102,0c7fd400-eab2-44e4-98ab-9fa6748d3a14,3,8.5,12.4,0.0
102,5818a4ca-ef8c-4a33-aa27-6fbe0459503e,3,18.5,14.6,29.0
102,00f972c5-a722-4bbe-b887-2978b39c3706,3,9.2,13.6,0.0
102,b24401c4-096a-4e46-9597-9533a5c449b7,3,12.3,13.9,0.0
102,668d69b8-077a-4c8e-845c-da902b4f935c,13,10.7,8.7,0.0
102,1ef1e939-6093-448a-bbf9-e15aff20f377,3,12.4,15.0,0.0
102,4a99e7cd-a146-4025-a11c-0f8ab230a680,74,7.2,10.4,0.0
102,ad2bca3d-e60e-43e1-93c4-6d3cac3ea33d,3,11.1,10.9,0.0
102,d5e8d0f1-0645-493b-a4e1-a7b00301fe69,74,10.9,11.7,0.0
102,a1a5faaa-641f-404c-8c3d-539b331dd3e1,3,7.7,10.4,0.0
102,f87a22df-c519-4ed1-a787-e7fb2577b239,3,14.0,13.8,0.0
102,35261ff2-e0c8-435d-bd23-12c5b0d9108f,3,15.5,14.3,0.0
102,5084a7b6-2b98-4e29-acb4-f2336842133a,3,13.8,16.6,0.0
102,fb1574e3-8623-4d28-8702-de545f3732f9,3,10.0,12.7,0.0
